bulan,sukarela,Penganti,APHERESIS,total
JANUARI,10194,19,91,10304
FEBRUARI,11218,10,59,11287
MARET,11496,6,60,11562
APRIL,10254,4,63,10321
MEI,9938,12,117,10067
JUNI,5917,80,53,6050
JULI,12057,7,79,12143
AGUSTUS,11422,1,48,11471
SEPTEMBER,9709,7,47,9763
OKTOBER,11417,4,72,11493
NOVEMBER,9044,16,47,9107
DESEMBER,9379,18,47,9444
